Name	Score	Pentamer count	Pentamer position	AU-block position	Sequence length
FAM60A	9.5	5	435 915 1917 1921 1925	20...108 234...269 300...333 409...477 485...547 571...621 657...701 705...752 822...884 885...957 1036...1088 1145...1477 1593...1667 1669...1742 1829...1879 1880...1951 2004...2127	2128
ADGRG1	0	0		1330...1445	1446
GRAMD1C	10.2	7	146 513 517 530 745 1436 1542	84...302 430...592 597...651 826...962 1015...1061 1062...1158 1170...1277 1289...1350 1472...1681	1682
ZNF165	0	0		1...89	93
MYO1E	1.3	1	42	33...214 292...318	319
CABP7	1	1	2117	1395...1434 2161...2269	2270
NDE1	0	0		68...133 436...475 609...658	669
KCNH1	8.9	8	7 498 1908 2832 3401 3419 4257 4934	0...38 260...332 973...1006 2575...2636 2945...3010 3361...3399 3860...3916 4086...4117 4169...4240 4241...4336 4489...4523 4527...4583 4655...4688 4746...4801 4881...4965	4966
VDR	3.3	3	1635 1724 3005	1614...1709 1751...1807 2084...2136 2822...2886 3120...3208	3209
C16orf74	1.3	1	443	395...442 443...490	491
CAPN8	1.3	1	78	63...100	224
GCNA	2.6	2	209 240	18...56 121...308 565...600	601
ANXA2	0	0		269...302	303
HACD1	0	0		97...193	194
LRFN4	1.3	1	250	237...279	280
KLHDC8A	1	1	790	854...894 1212...1241 1260...1306	1307
KIFC3	1.3	1	652	645...714	715
GREM2	7.5	6	2086 2363 2874 2905 2964 3235	762...897 937...974 1021...1100 1217...1292 1304...1453 2168...2201 2331...2490 2858...3029 3067...3387	3396
ARHGAP20	5.1	3	811 1374 1378	38...99 107...207 412...521 667...703 975...1052 1186...1257 1372...1410 1425...1586 1618...1665 1752...1791 1873...2226 2231...2315	2316
ARMT1	8.25	6	4 216 222 380 695 839	145...181 199...460 526...594 662...990	991
RGS2	2.6	2	312 654	305...344 520...585 633...686	687
NPAS2	1.3	1	567	438...510 523...591 988...1246	1247
SLC25A25	5.6	4	1068 1079 1166 1762	1062...1200 1458...1497 1677...1800	1801
BLNK	0	0		6...140 223...270	271
CACNA1C	7.8	6	891 1418 1479 4582 4876 6687	19...68 752...795 874...922 973...1060 1396...1744 2663...2708 3789...3841 3919...3949 4565...4632 4851...4935 5081...5112 5349...5390 5394...5436 6212...6264 6483...6543 6655...6750	6751
ZBTB42	2.3	2	1434 1994	1939...2031	2246
EGR4	0	0		422...471 478...526	527
ZBTB37	54.8999999999999	43	309 1931 2974 3359 3576 4146 4247 4415 4471 4743 4987 5597 6144 7080 7793 7849 8421 8594 8746 8844 9620 9672 9686 10160 10357 10409 10491 10828 11064 11765 12621 12886 13306 13310 13510 14028 14398 14465 15617 15956 16012 16165 17212	204...251 252...363 496...570 759...797 935...981 982...1160 1240...1438 1514...1570 1591...1638 1777...1855 1869...1957 2157...2194 2280...2339 2457...2502 2627...2753 2831...2892 2958...3081 3226...3276 3421...3536 3587...3628 3629...3782 3807...3841 3895...3937 4036...4273 4308...4347 4365...4499 4612...4652 4727...4972 4973...5015 5030...5206 5214...5270 5304...5482 5626...5750 5871...5961 6013...6061 6070...6107 6131...6288 6339...6439 6547...6715 6780...6816 6938...6977 7079...7119 7123...7233 7239...7306 7307...7380 7425...7579 7713...7763 7790...7822 7982...8020 8109...8205 8651...8776 8836...8917 8958...9017 9141...9177 9280...9382 9450...9488 9565...9613 9616...9712 9920...9960 10052...10230 10272...10334 10352...10460 10477...10717 10813...10986 11036...11088 11111...11161 11163...11254 11255...11322 11323...11359 11372...11407 11749...11843 11911...11999 12166...12204 12329...12368 12478...12535 12553...12586 12616...12647 12670...12709 12760...12832 12833...12873 12932...13034 13035...13104 13298...13387 13503...13541 13641...13683 13791...13941 13942...14000 14010...14057 14082...14200 14315...14435 14455...14566 14583...14616 14798...14858 14867...14950 15151...15249 15250...15315 15436...15483 15997...16116 16141...16293 16296...16386 16443...16528 16530...16569 16587...16624 16694...16753 16838...16902 16905...16964 17187...17424	17425
LETM2	4.9	4	44 1067 1119 1249	0...112 151...231 233...287 295...353 455...494 618...712 713...795 972...1113 1218...1321 1334...1417	1418
IFFO1	0	0		904...943	944
ETNPPL	3.9	3	233 281 399	105...347 356...443	444
CNN2	0	0		57...101 389...428 684...716 832...869	1168
ZNF775	0	0		506...535	536
GIMAP2	2.8	2	18 32	11...340	341
GPC4	11.7	9	441 658 775 1793 1899 2105 2255 2514 2581	21...139 270...350 397...532 537...586 645...690 752...805 935...970 1112...1169 1270...1303 1465...1515 1635...1692 1693...1730 1766...1839 1840...1946 2087...2129 2159...2331 2392...2463 2500...2558 2559...2652 2653...2763	2764
DBP	1.3	1	132	115...151	152
AP1S3	2.6	2	106 154	93...232	233
KDR	5.6	4	235 246 1151 1297	222...262 1027...1065 1103...1263 1291...1463	1464
FOSL2	10.7	9	1032 3173 3657 3818 3906 3918 4035 4238 4479	451...490 498...529 1711...1741 1901...1962 2162...2242 3563...3610 3623...3679 3893...4004 4010...4137 4192...4314 4331...4424 4496...4547 4587...4647 4667...4796 4829...4863	4864
OGT	3.9	3	611 1675 2029	112...149 345...508 521...656 820...898 946...1077 1098...1184 1272...1325 1349...1391 1508...1590 1662...1725 1732...1803 1946...2102	2103
ABCG2	7.5	6	21 250 398 865 1613 1954	7...103 120...199 238...362 367...498 499...593 753...791 842...1096 1135...1183 1220...1338 1343...1514 1515...1566 1664...1827 1868...1964	1965
ZNF563	0	0			30
BPGM	5.2	4	310 381 437 619	296...352 365...496 612...657 686...780	782
TUBA4A	1	1	394		641
SLC12A7	8.9	5	343 1300 1304 1308 1895	1290...1330 1940...1983	1984
UBASH3B	18	14	106 592 1154 1233 1248 2435 3039 3193 3696 3802 3813 4329 4373 4559	98...209 406...456 462...505 830...869 914...993 1082...1112 1132...1182 1241...1332 1478...1556 1573...1666 1737...1830 1870...1910 2116...2217 2282...2432 2433...2586 2605...2642 2697...2790 2861...2895 3028...3089 3132...3252 3259...3476 3566...3630 3688...3721 3802...3849 3870...3961 4005...4253 4329...4419 4548...4586	4587
PPP1R15A	3	2	20 31	9...83	84
SEPT4	1	1	19	136...175	176
GRB10	5.2	4	1131 2052 2070 2307	339...444 464...518 613...653 1129...1155 1724...1803 2035...2135 2285...2339 2378...2419 2449...2549 2808...2888	2889
EPPK1	2.3	2	451 621	60...185 357...449 604...662	663
CITED2	3.9	3	388 828 1030	118...220 228...299 308...439 471...555 667...903 1030...1087 1114...1212 1214...1302 1303...1324	1325
SYNDIG1	1.3	1	136	131...185 345...387 915...970 1005...1111	1112
TBL1X	1.3	1	3165	1...51 161...232 407...473 522...570 948...1070 1076...1113 1608...1645 1646...1742 3055...3094 3136...3226 3380...3423 3464...3493	3494
BMF	5.3	5	2085 2152 2362 2647 3885	79...167 1338...1407 3766...3798 3857...3893	3894
MAN1A1	6.5	5	801 1135 1345 1923 2195	0...38 41...210 211...364 401...474 511...623 624...713 714...751 787...888 917...1202 1219...1327 1328...1399 1491...1640 1656...1835 1848...2019 2113...2609	2610
SCGB1C2	0	0			125
STARD8	1	1	185	1086...1175 1176...1260	1411
FNDC4	0	0			560
NECTIN1	0	0		635...665 2598...2632 2708...2752 3489...3541 3665...3754	3755
GRAMD1B	7.9	7	1405 2136 2168 3241 3297 3636 4314	44...151 417...465 1680...1729 1731...1784 2133...2194 2445...2532 2577...2615 2686...2721 2767...2870 3287...3321 5130...5178	5179
SERPINB8	10.1	8	938 1486 1624 1845 1923 2014 2032 2083	765...823 923...1064 1065...1335 1337...1376 1581...1756 1816...1903 1904...2092	2093
FLT1	24.4	19	40 352 525 565 909 944 969 1077 1166 1194 1231 1780 2097 2390 2500 2599 2784 3295 3368	27...72 307...383 510...596 813...1011 1012...1049 1063...1272 1516...1568 1573...1641 1643...1731 1772...1947 1985...2047 2197...2237 2311...2526 2587...2648 2695...2734 2763...2810 2814...2851 2852...2894 2895...3077 3238...3341 3348...3440 3728...3771 3886...4067	4153
NKAIN1	2	2	571 1171	244...289 601...647 1831...1864	1958
DYRK3	0	0		21...87 97...179 197...227	228
BDH1	0	0		255...442 811...849 933...986 2084...2111	2112
GAREM1	8.2	6	312 622 3182 4053 4062 4302	161...203 300...400 616...709 711...794 923...961 1012...1050 1160...1253 1254...1404 1559...1602 1644...1770 1964...2044 2150...2268 2363...2442 2575...2701 3032...3097 3167...3244 3294...3331 3453...3492 3496...3573 3574...3625 3815...4006 4007...4253 4268...4348	4349
ANKRD16	0	0			43
EXT1	2.6	2	302 763	295...323 761...805	1024
CSDC2	0	0			1771
TSPAN15	0	0		531...615 645...690	691
LATS2	8.2	6	241 374 1398 1408 1763 1807	88...153 215...469 487...608 661...707 809...875 912...959 1165...1343 1358...1635 1746...1837	1838
TNC	0	0		265...295 356...423 424...622	623
PTPN1	8.7	6	395 399 613 680 1118 1777	388...432 448...495 498...540 606...718 1646...1688 1788...1890 2012...2060 2061...2108 2443...2525	2526
NOCT	0	0		26...76 202...241 357...394 420...459	463
ZNF114	0	0		7...55 120...213 306...339 445...484 612...688 698...727	728
EFNA5	7.2	6	438 1374 1419 1456 2211 3442	112...166 514...689 800...839 840...927 1183...1264 1320...1496 1683...1724 1738...1873 2197...2288 2331...2465 2479...2515 2528...2576 2577...2615 2703...2742 2785...2844 2984...3025 3030...3225 3335...3373 3702...3778 3840...3882 4219...4284 4316...4365	4366
CBFB	9.1	7	308 325 528 1362 1493 1994 2128	56...108 156...253 293...566 579...673 754...811 913...963 1014...1151 1185...1335 1336...1529 1533...1675 1685...1741 1804...1917 1968...2010 2071...2205	2244
ADGRE5	0	0		536...603	604
GADD45G	0	0		440...475	476
NXN	1	1	25	809...851 975...1014	1636
ZNF555	2.6	2	60 220	43...256	257
RP4-788L20.5	11.8	10	273 743 1186 2076 2158 2601 3414 4026 4065 4628	51...103 209...297 538...578 616...667 673...834 913...949 1107...1142 1208...1305 1666...1706 1770...1818 1866...1905 2065...2113 2157...2274 2275...2376 2619...2658 2743...2787 3524...3562 3574...3701 3781...3945 3995...4128 4133...4197 4656...4742	4743
MRAS	1	1	717	297...393 417...480 533...573 751...790 836...919 1079...1132 1200...1293 1500...1559 1735...1813 1850...1889 2394...2434 3082...3117 3201...3264	3265
TUBB2A	0	0		135...193	194
ZIC5	19	15	1 126 160 169 1209 1364 1447 1584 1679 1697 2061 2119 2175 2244 2328	0...49 150...245 325...430 584...801 817...916 936...979 1090...1154 1200...1233 1234...1308 1487...1519 1534...1639 1640...1789 1800...1863 1933...2057 2058...2301 2309...2412	2413
YPEL4	0	0		553...623 825...892	893
FITM1	0	0			26
SACS	7.8	6	4 523 617 751 814 1016	0...211 320...459 485...605 606...742 746...841 865...1042 1043...1214 1231...1309	1310
AFF2	1.3	1	109	0...52 53...114	115
AP003419.11	0	0			423
TMEM65	49.9999999999999	36	67 111 271 481 821 952 1064 1078 1114 1210 1490 2073 2120 2325 2458 2715 2824 2865 3338 3356 3614 3647 4623 4866 5359 5363 5367 5371 5475 6290 6531 6583 6752 6910 7324 7478	3...616 678...759 760...1576 1611...1773 1774...1834 1898...1970 1988...2039 2069...2232 2257...2506 2524...2623 2849...3141 3199...3255 3270...3458 3595...3700 3780...3825 3940...3981 4049...4090 4190...4311 4423...4558 4682...4741 4753...4936 5019...5149 5160...5257 5353...5450 5761...5798 6040...6110 6210...6274 6275...6352 6399...6526 6575...6622 6691...6774 6879...6953 6974...7029 7153...7192 7291...7433 7434...7511 7667...7770	7771
MYL12B	1.3	1	128	113...151 190...346	347
KRT80	0	0		1662...1739 2207...2243 2373...2401	2402
MGLL	6.4	4	2198 2202 2278 3069	76...186 206...236 781...856 1915...1952 2185...2227 2262...2324	3136
GATA3	7.7	5	230 720 760 764 925	255...338 462...558 668...874 897...953 1121...1174	1175
MN1	3.3	3	179 1415 1514	113...150 193...243 379...450 452...530 545...581 648...688 1502...1571 1663...1696 2022...2075 2173...2202 2211...2317 2360...2423 2431...2489 2500...2570 2571...2637	2638
FAM83G	1.3	1	552	504...594 697...736 1539...1575	2570
TRIM67	3.3	3	1060 3524 5726	881...962 1475...1533 1548...1582 2822...2870 2922...2988 3033...3085 3169...3212 3229...3271 4250...4348 4632...4684 5725...5758 5937...6024 6078...6115	6116
ZNF365	10.4	8	1254 1394 1485 1810 1845 1971 2208 2422	171...210 211...279 427...478 528...563 1086...1129 1225...1284 1317...1438 1439...1702 1708...1744 1776...1837 1838...1883 1884...2020 2096...2203 2204...2234 2291...2334 2414...2564 2599...2668	2669
SYNE3	4.6	4	183 4518 4820 6506	174...321 858...895 1359...1419 1701...1766 1792...1854 1973...2021 2108...2209 2247...2300 2350...2429 2816...2958 3007...3048 3966...4017 4545...4599 4964...5010 6391...6445 6476...6583 8136...8176 10112...10191 10207...10266 10387...10429 10487...10559	10560
GIPC2	6.2	5	393 836 1127 1669 1785	34...486 566...655 705...968 976...1151 1199...1330 1331...1463 1464...1504 1537...1630 1646...1740 2023...2105 2173...2246 2252...2343 2380...2418 2493...2590 2595...2705	2706
PIK3C2B	2.3	2	1166 2116	339...395 497...561 1351...1418 1545...1584 1757...1856 1947...1993 2088...2154 2180...2223	2224
NSF	3.9	3	791 907 1124	605...644 659...766 773...834 836...993 1122...1167 1570...1640	1641
DUSP3	7.4	6	838 1358 1602 1621 2562 2576	676...719 787...835 1279...1380 1429...1496 1608...1663 2002...2057 2560...2634 3083...3152 3154...3184 3318...3375 3377...3487	3488
PLK2	2.6	2	500 524	418...477 478...600	601
KDM7A	31.45	22	329 333 387 423 1114 1216 1364 1554 2230 2235 2596 2643 2785 3053 3057 3078 3403 3782 5646 5777 6076 6171	260...485 516...683 835...900 909...1015 1063...1297 1346...1451 1452...1478 1503...1626 1638...1747 1759...1803 1835...1896 1994...2037 2040...2274 2343...2416 2653...2769 2770...2968 2969...3103 3176...3229 3287...3353 3452...3650 3718...3840 4147...4214 4479...4549 4569...4757 4792...4905 4987...5079 5158...5318 5353...5394 5541...5602 5610...5683 5776...5815 6064...6156 6157...6347	6348
CACNB4	0	0		216...262	320
C9orf72	8.5	7	200 565 1243 1280 1333 1466 1532	221...578 642...797 809...908 940...1052 1124...1167 1168...1318 1331...1508 1597...1689	1690
LONRF3	0	0		53...104 249...296	297
SMURF1	5.2	4	2886 2958 3008 3029	528...578 675...730 880...919 1240...1293 2819...2945 2946...3054 3110...3145	3146
NCS1	2.6	2	676 3314	323...396 588...705 809...866 3306...3341 3571...3616 3617...3671	4332
TPM4	3.3	3	243 1233 1511	123...162 221...265 636...725 830...867 986...1058 1132...1166 1432...1467 1593...1658	1659
TNFSF4	11.7	9	162 195 532 1672 1719 1905 2579 2675 2746	156...231 264...370 521...557 624...655 658...699 990...1144 1189...1223 1279...1344 1486...1634 1656...1692 1707...1777 1810...1974 2237...2299 2364...2474 2475...2526 2552...2609 2614...2651 2652...2696 2697...2781	2782
PRAG1	1.3	1	358	109...188 226...270 342...416	417
FOXC2	3.9	3	517 673 722	88...125 246...277 393...450 500...573 612...763 764...886	887
HERPUD1	0	0		86...161 218...267 388...533 554...594	596
MT1E	0	0		45...86 87...140	141
NGEF	0	0		759...802	803
HDAC4	0	0			51
DUSP6	0	0			182
HS3ST3B1	9.5	8	90 256 1643 1754 2311 2630 3021 3523	45...135 246...310 585...642 765...803 1421...1459 1718...1872 1934...1992 2290...2347 2555...2629 2729...2781 3046...3184 3210...3269 3315...3361 3362...3472 3508...3757	3758
FAM102A	1.3	1	2282	1257...1296 1312...1374 1633...1661 2162...2234 2248...2348 2521...2553 2577...2612	2613
ELFN2	3.3	3	467 2845 5101	216...255 2196...2231 5066...5110	5111
BMPR2	48.5499999999999	34	40 159 932 936 1103 1388 1395 1713 1821 1893 2623 2704 2847 3191 3891 4032 4109 4211 4255 4772 5394 5857 5877 5914 5955 6253 6401 6426 6559 6723 6809 7084 7088 7092	14...98 131...398 565...605 801...840 883...1147 1298...1856 1926...1968 2035...2314 2315...2919 2991...3074 3182...3214 3313...3359 3484...3527 3528...3781 3816...4069 4093...4148 4205...4504 4575...4770 4927...4966 5096...5219 5220...5280 5374...5522 5537...6156 6157...6335 6393...6532 6641...6925 6955...7272 7447...7514 7548...7611 7624...7718 7769...7804	7805
INHBA	18.1	13	985 1820 2031 2813 3045 3491 3495 3933 3998 4257 4299 4331 4393	52...208 558...605 640...1016 1070...1190 1349...1585 1776...1902 1903...1974 2006...2174 2175...2250 2251...2431 2432...2492 2664...2729 2946...3159 3184...3264 3341...3457 3478...3535 3553...3598 3614...3661 3662...3709 3750...3791 3804...3845 3917...4417 4501...4535	4536
RP5-966M1.6	2	2	1861 2753	1998...2035 3683...3722 4529...4561	4568
CDCA3	0	0		310...350	351
SERPINE2	2.6	2	357 577	69...141 231...312 313...454 533...606 653...754	755
CCDC3	0	0		87...158 353...387 619...662 1084...1167	1791
KIAA0513	1	1	1805	2082...2125 2281...2320 3605...3657 3777...3815 4052...4089 5828...5869 5871...5894	5895
UGDH	3.9	3	443 921 974	6...134 255...295 407...676 691...859 860...1240 1343...1387	1388
PXDC1	0	0		523...569 901...998	999
PXMP4	4.9	4	1128 1213 1916 3106	127...167 380...437 476...535 636...677 796...938 1124...1168 1198...1248 1249...1292 1395...1431 1591...1629 1752...1812 1910...1977 2071...2119 2248...2287 2528...2566 2684...2758 2791...2876 3129...3161 3525...3622 4412...4461 4900...4951	4952
FAM198B	21.8	16	32 529 601 641 682 858 916 926 1294 1754 2013 2404 2438 2816 2820 2876	22...81 103...166 167...345 348...388 568...1275 1289...1387 1489...1587 1592...1663 1809...1899 1966...2043 2143...2276 2282...2372 2389...2624 2695...2873 2884...2932	2933
GPR183	2.6	2	291 420	5...60 61...130 176...246 262...521	530
PPEF1	0	0			434
RAI1	0	0		925...973 1241...1471	1472
RNFT1	2.6	2	821 1142	0...37 68...134 158...222 293...342 345...387 417...543 594...702 746...1191	1192
HIVEP2	6.7	4	480 484 554 601	30...104 105...178 179...566 574...901 979...1017 1539...1639	1640
TFB1M	0	0		116...287 288...326	327
MRM1	0	0			556
KCNH8	9.65	7	561 613 622 630 730 947 1378	184...268 425...484 544...769 811...898 1192...1231 1242...1280 1389...1481 1497...1546	1547
CPEB2	19.3	14	387 548 1229 1959 2178 2215 2223 2609 2622 2788 2795 2995 3666 3701	191...303 432...643 710...802 834...968 1063...1148 1216...1422 1460...1527 1585...1694 1695...1778 1808...1844 1845...2048 2064...2411 2425...2516 2524...2701 2738...2849 2876...2919 2945...3423 3424...3514 3515...3646 3695...3770	3771
SDCBP	2.3	2	226 418	362...598 615...697 739...809 828...965 966...1010 1037...1119	1120
KNL1	0	0		30...66 118...181 298...399 436...494	495
TSKU	1.3	1	1442	1153...1208 1274...1307 1438...1475	1476
PDLIM1	0	0		177...223 315...352	353
FAM65B	2	2	10 142	197...232 567...603 728...785 1042...1133 1264...1344	1345
GADD45A	2.6	2	278 497	210...263 264...347 394...563	564
GPSM1	1	1	1278	1333...1382	1385
MESDC1	10.1	8	68 543 608 940 1490 1557 2028 2081	68...103 285...322 330...515 530...710 847...884 1022...1061 1167...1205 1446...1510 1548...1608 1624...1755 1774...1852 1879...1939 2009...2206 2239...2427	2428
RP11-309L24.4	2.6	2	3094 3259	2036...2075 2621...2724 2737...2789 2972...3010 3079...3223 3244...3268	3269
ID4	2.6	2	234 1160	159...314 375...477 488...739 741...777 817...1046 1073...1207 1321...1428 1445...1488	1489
KCNJ4	0	0		417...463	468
CDH22	0	0			773
ADAMTS1	6.7	5	677 1167 1181 1247 1506	247...349 350...382 510...581 633...751 1039...1126 1133...1344 1366...1424 1433...1662 1722...1770 1788...1831	1832
DSCAM	3.9	3	81 379 556	23...153 252...291 370...403 471...506 538...619	620
PRKG1	14.3	11	1276 1521 2248 2579 2962 3106 3226 3581 3987 4155 4347	247...289 290...353 361...419 533...570 594...660 693...751 753...816 836...870 871...914 935...1052 1053...1174 1181...1344 1420...1578 1661...1703 1707...2013 2053...2314 2487...2795 2847...3441 3471...3556 3569...3673 3692...3786 3787...3860 3866...3901 3972...4051 4142...4314 4315...4396 4408...4447	4448
TAS2R9	0	0			43
KAT14	1	1	240	420...458 539...616 883...916	928
ZNF793	20.6	14	347 406 410 414 1257 2010 2050 2634 2948 3496 4091 4226 4554 4634	21...74 193...235 359...447 561...600 759...817 820...918 923...1186 1190...1356 1390...1493 1523...1583 1593...1636 1649...1719 1750...1841 1842...1955 1972...2130 2215...2250 2380...2525 2546...2668 2669...2936 2937...3130 3142...3281 3282...3388 3389...3490 3631...3666 3794...3889 4085...4168 4169...4239 4343...4380 4514...4688 4721...4820 4856...4929 4930...5009 5060...5107 5177...5351 5394...5455	5456
TRIM6-TRIM34	6.95	5	163 171 256 573 640	155...227 517...688	689
SH3PXD2B	4	4	54 71 2640 3611	1431...1473 2842...2878 4707...4754 4805...4858	4870
SLC7A5	2.3	2	2652 2680	264...325 2639...2673 2911...2946	2947
EIF5	5.2	4	210 262 473 1114	111...172 197...256 257...349 450...715 730...801 803...845 890...978 1004...1214 1472...1645 1718...1781 1864...1920 1922...1968 1984...2175	2176
SERTAD4	9.1	7	740 1739 2296 2935 3299 3354 3802	48...122 184...282 335...416 417...469 529...567 677...797 845...922 1010...1055 1061...1333 1486...1867 1875...1924 1942...2050 2051...2358 2505...2614 2742...2801 2897...2958 3000...3041 3125...3161 3280...3398 3567...3602 3603...3649 3650...3698 3699...3738 3740...3777 3787...3917	3918
FAM57A	3.3	3	1020 1161 1294	113...163 1195...1401	1402
PAX6	3.6	3	391 513 728	0...61 225...389 390...512 573...1022	1023
SCG2	3.9	3	215 343 427	86...131 200...293 304...394 395...488	489
CDON	2.6	2	108 171	83...208	263
SERPINI1	2.6	2	63 101	0...244	245
SLC17A6	8.8	7	16 298 435 669 860 1034 1743	1...106 115...158 359...415 432...657 669...976 977...1205 1264...1384 1385...1548 1558...1647 1716...1762	1763
PLAT	2.6	2	431 660	369...453 585...705 706...759	760
KCNK9	4.1	2	79 83	67...135	252
YRDC	7.5	6	197 325 367 801 848 882	188...263 264...348 530...574 788...871 874...980	981
BIVM	2.6	2	475 510	25...533 649...685 810...875 878...950 1169...1269 1315...1352 1422...1503 1516...1669	1670
UTS2	0	0		37...112 128...151	152
GJA3	18.8	15	516 754 1106 1322 2135 2219 2283 2714 2924 2961 3053 3257 3377 3597 3610	446...570 748...796 824...895 924...1099 1100...1195 1210...1240 1393...1432 1499...1551 1568...1606 1677...1714 2089...2169 2184...2281 2322...2376 2534...2575 2609...2960 3033...3101 3109...3304 3336...3395 3396...3725	3726
LHX4	7.9	7	790 1128 1471 1486 2374 3023 4284	94...131 442...485 486...540 541...678 777...813 819...908 1749...1803 2314...2360 2368...2417 2803...2847 3159...3306 3344...3434 3552...3587 3656...3715 4188...4240 4241...4322 4364...4402	4403
CXCL2	19	10	145 149 153 157 161 251 301 493 667 705	134...245 246...389 459...645 660...720	721
GNAI1	1.3	1	288	128...196 254...367	368
EGFR	11.1	9	209 255 1527 1821 4396 4429 4628 4645 5604	251...377 647...685 1048...1138 1309...1423 1479...1520 1541...1645 1658...1744 1767...1881 2226...2289 2401...2572 3965...4003 4101...4301 4381...4447 4576...4678 5104...5213 5336...5443 5600...5650 5849...6010	6011
KDF1	0	0		359...410	507
IZUMO1	0	0			809
POTEC	3.6	3	531 732 4945	250...361 426...555 741...882 3376...3416 3657...3742 3751...3832 4057...4131 4283...4323 4403...4452 4855...4911 4930...4961	4962
NAT9	0	0		1148...1176	1177
BOK	0	0			1716
SLC25A4	5.6	4	698 857 868 897	647...943	944
LIFR	38.3499999999999	29	555 770 777 1395 1606 2365 2596 2986 3100 3304 3313 3434 3482 3523 4166 4225 4261 4728 4909 4999 5010 5166 5298 5482 5507 5669 5723 6426 6572	472...518 519...631 669...941 1087...1149 1329...1366 1375...1598 1690...1791 2000...2029 2077...2113 2205...2260 2351...2380 2770...2909 2933...3134 3295...3503 3516...3796 3987...4061 4137...4219 4220...4589 4604...4804 4856...4945 4973...5137 5150...5225 5247...5545 5616...5704 5738...5844 5857...6099 6117...6189 6190...6354 6355...6631	6632
DNMBP	2.3	2	1401 1533	626...739 926...974 976...1016 1160...1233 1335...1383 1516...1573	1574
CYP3A7	1.3	1	381	59...98 295...455	456
MYL3	0	0			372
NDRG1	2.6	2	848 1668	101...140 705...742 842...882 1646...1706	1707
THBS4	0	0		31...140	141
APPL2	2.6	2	359 458	219...274 275...442 443...523 590...655 775...811 898...1017	1018
CARD10	0	0			795
GPAT4	3.9	3	1102 2016 3011	236...270 1091...1126 1790...1930 1955...2046 2361...2393 2828...2876 2996...3034 3142...3173 3704...3793 3941...3999	4000
ZNF285	0	0		343...468 782...822	823
SLC35E4	0	0		195...233 361...402 577...625	862
ENOX1	1.3	1	309	171...359 371...471	472
GPR4	1.3	1	864	93...140 214...252 385...430 522...623 709...748 862...901 969...1013	1014
TFAP4	0	0		77...165 290...364 646...769 770...824 828...868	869
UNC5C	18.6	15	224 480 807 1263 1412 1781 2293 2879 3240 3470 3939 5261 5608 6650 6714	191...265 321...393 411...452 463...532 608...654 756...902 1096...1131 1405...1440 1571...1605 1632...1714 1766...1891 2194...2272 2279...2323 2370...2455 2467...2515 2636...2735 2872...3013 3070...3113 3141...3202 3224...3311 3362...3626 3628...3738 3908...3996 4030...4096 4305...4416 4589...4677 4697...4791 4814...4915 4916...4964 5002...5035 5126...5188 5574...5674 6189...6228 6376...6424 6476...6504 6672...6729	6730
PRIMA1	2.6	2	2511 2775	1651...1679 2339...2377 2497...2533 2601...2632 2728...2867 3108...3145	3146
CD79A	0	0		361...391	392
S1PR1	1.3	1	1300	486...530 686...761 773...809 923...1119 1121...1152 1172...1384	1385
PGAP1	31.9	25	64 631 1165 1622 2433 2498 2632 2727 3018 3157 3859 4513 5175 5264 5618 5694 5795 5963 6281 6620 7058 7489 7963 8519 8571	50...116 366...461 480...543 568...655 847...978 1021...1104 1105...1154 1196...1276 1288...1469 1619...1650 1849...1970 2096...2129 2184...2234 2237...2271 2431...2530 2537...2602 2713...2756 2803...2875 2899...2968 2969...3057 3065...3208 3249...3409 3427...3468 3549...3597 3657...3774 3826...3903 4351...4418 4465...4505 4506...4547 4578...4907 5032...5070 5172...5206 5207...5352 5353...5418 5525...5586 5590...5741 5791...5830 5892...5998 6019...6119 6128...6331 6449...6495 6585...6673 6679...6738 6740...6784 6840...6965 6966...7098 7111...7157 7216...7340 7352...7693 7706...8079 8104...8661 8684...8749	8750
CXCR3	0	0		375...448	449
ZFP36L1	11.9	8	783 1161 1180 1222 1409 1439 1792 1796	774...819 873...961 1083...1470 1554...1623 1681...1718 1719...1760 1779...1870	1871
CAPN2	3.6	3	104 340 403	131...229 245...349 400...484 588...650 729...783 897...983 1083...1160	1161
LRFN1	0	0		789...819 1030...1064	1065
RNF146	8.75	5	167 171 423 633 640	124...241 242...328 362...401 410...564 585...668	669
TIAM2	8.2	6	145 160 246 390 401 555	22...114 130...305 372...439 442...601	602
TWISTNB	9.3	6	936 1209 1213 1808 1868 2772	38...134 135...238 262...308 309...552 573...622 762...916 934...968 1066...1138 1197...1236 1245...1332 1467...1744 1760...1994 2085...2149 2150...2184 2371...2462 2527...2561 2605...2745 2754...2853	2854
UTP3	2.6	2	139 370	28...172 212...433	434
PCDH19	21.5	17	290 351 441 1367 1467 1531 1701 2065 2101 2190 2912 3036 3102 3546 3848 4296 4591	111...162 259...487 577...622 643...710 924...958 1008...1075 1202...1241 1295...1404 1407...1466 1467...1575 1618...1668 1693...1779 1782...1818 1874...1976 2063...2214 2216...2310 2460...2520 2594...2651 3033...3069 3070...3212 3213...3252 3320...3363 3530...3660 3680...3750 3794...3886 4344...4560 4583...4632	4633
NKX3-1	9.5	8	640 866 1048 1238 1275 2045 2093 2523	581...655 799...836 946...1034 1060...1109 1116...1153 1161...1263 1720...1773 1817...1857 1875...1910 2019...2061 2088...2260 2342...2400 2448...2527	2528
CBR3	0	0			54
